Beacon_Id,AccessionNumber
1392,436.1992
1393,437.1983.1-2
1394,437.1992
1395,438.1983
1396,438.1992
1397,439.1992.1-2
1398,441.1983.a-b
1399,441.1987
1400,442.1956
1401,442.1983
1402,442.1987
1403,443.1956
1404,443.1983
1405,443.1987
1406,444.1956
1407,444.1983
1408,445.1983
1409,445.1987
1410,446.1987
1411,447.1956.a-c
1412,447.1987
1413,448.1956
1414,448.1987
1415,449.1970
1416,450.1970.102
1417,450.1970.52
1418,450.1970.53
1419,450.1970.55
1420,450.1970.57
1421,450.1970.60
1422,450.1970.62
1423,374.1982
1424,375.1982
1425,377.1982
1426,377.1985
1427,378.1982.1-5
1428,381.1942
1429,387.1982
1430,389.1982
1431,392.1994
1432,393.1951
1433,393.1994
1434,394.1951
1435,394.1972
1436,395.1951
1437,395.1994.a-c
1438,396.1951
1439,396.1994.a-c
1440,397.1951
1441,397.1994
1442,398.1951
1443,399.1951
1444,399.1988
1445,399.1994
1446,400.1951
1447,400.1988
1448,401.1951
1449,401.1988.1-2
1450,401.1994
1451,402.1951
1452,402.1988
1453,402.1994
1454,403.1951
1455,403.1988.1-2
1456,403.1994
1457,404.1951
1458,404.1988
1459,404.1994.1-2
1460,405.1951
1461,450.1970.93
1462,450.1970.94
1463,450.1974.1-2
1464,451.1970.1-3
1465,451.1974
1466,452.1970
1467,452.1974
1468,453.1956
1469,453.1974
1470,453.1987
1471,454.1997
1472,455.1970.a-b
1473,455.1987
1474,455.1997
1475,456.1970
1476,456.1974
1477,456.1987
1478,456.1997.1-5
1479,457.1970
1480,457.1974
1481,457.1983.1-3
1482,457.1987
1483,457.1997
1484,458.1956.1
1485,458.1956.1-4
1486,458.1970
1487,458.1983.1-4
1488,458.1987
1489,459.1951
1490,459.1956
1491,459.1970
1492,459.1983
1493,459.1987
1494,459.1997
1495,460.1970
1496,461.1970
1497,461.1987
1498,461.1997
1499,462.1983
1500,462.1997.1-3
1501,463.1956
1502,463.1983
1503,464.1970
1504,464.1974
1505,464.1983
1506,464.1997
1507,465.1964
1508,465.1983
1509,465.1997
1510,466.1964
1511,466.1983
1512,466.1997
1513,467.1951
1514,467.1983
1515,467.1997
1516,468.1970
1517,468.1983
1518,468.1997
1519,469.1997
1520,470.1951
1521,470.1983
1522,470.1997.1-4
1523,471.1956.a-b
1524,471.1970
1525,471.1974
1526,472.1970.1-2
1527,472.1983
1528,473.1970.a-e
1529,473.1974
1530,473.1983
1531,475.1970.1-3
1532,475.1978
1533,476.1970
1534,476.1978
1535,477.1970.10
1536,477.1970.11
1537,477.1970.12
1538,477.1970.13
1539,477.1970.14
1540,477.1970.15
1541,477.1970.16
1542,477.1970.17
1543,477.1970.18
1544,477.1970.19
1545,477.1970.20
1546,477.1970.21
1547,477.1970.22
1548,477.1970.24
1549,477.1970.25
1550,477.1970.26
1551,477.1970.27
1552,477.1970.3
1553,477.1970.4
1554,477.1970.5
1555,477.1970.6
1556,477.1970.7
1557,477.1970.8
1558,477.1970.9
1559,477.1978
1560,478.1978.2
1561,479.1970
1562,479.1978
1563,480.1956
1564,480.1970.1-2
1565,480.1978
1566,481.1970
1567,482.1956
1568,482.1970
1569,483.1970.1-2
1570,484.1956
1571,484.1978.a-b
1572,486.1953
1573,486.1978.1-2
1574,487.1953
1575,487.1978
1576,488.1953
1577,489.1956.a-c
1578,492.1953
1579,492.1990
1580,493.1953
1581,493.1970
1582,493.1990
1583,494.1990
1584,495.1990
1585,556.1964
1586,557.1964
1587,558.1964
1588,559.1953.a-b
1589,560.1964
1590,560.1981
1591,561.1964.a-e
1592,561.1981
1593,567.1981
1594,570.1981
1595,571.1970
1596,573.1963.1-2
1597,575.1963
1598,575.1981
1599,578.1963
1600,579.1963
1601,580.1963
1602,586.1963
1603,587.1963.a-c
1604,594.1965
1605,595.1965
1606,596.1965
1607,598.1965
1608,624.1980
1609,625.1980
1610,626.1980
1611,627.1980
1612,630.1980.a-b
1613,631.1980.a-b
1614,632.1980.a-b
1615,636.1980
1616,640.1980
1617,641.1980
1618,645.1980
1619,665.1959
1620,665.1980
1621,666.1939
1622,666.1980
1623,667.1980
1624,671.1939
1625,672.1954
1626,681.1995
1627,683.1939
1628,683.1995.1-2
1629,684.1995
1630,686.1995.1-5
1631,688.1995.1-3
1632,689.1995
1633,497.1953.1-33
1634,497.1990.1
1635,497.1990.2
1636,497.1990.3
1637,498.1990
1638,505.1990.1-2
1639,506.1990
1640,508.1956.a-b
1641,509.1990.1-2
1642,510.1990.2
1643,515.1990.1
1644,516.1990
1645,517.1990
1646,518.1990.1
1647,518.1998
1648,519.1990.1
1649,519.1998
1650,520.1990.1
1651,520.1998
1652,521.1990.1
1653,521.1998
1654,522.1990.1a-b
1655,523.1956
1656,523.1977
1657,525.1990.a-b
1658,527.1990
1659,529.1977
1660,530.1977
1661,532.1977.a-b
1662,536.1956.1-3
1663,537.1977
1664,539.1977
1665,540.1977
1666,548.1956
1667,551.1953
1668,552.1953
1669,553.1953
1670,553.1964
1671,554.1964.a-g
1672,711.1943
1673,713.1966.1-12
1674,715.1943.a-b
1675,716.1966
1676,718.1966.1-3
1677,719.1966
1678,720.1966
1679,721.1966
1680,723.1983
1681,724.1983
1682,725.1983.a-c
1683,726.1983
1684,728.1983
1685,731.1983.1-2
1686,732.1983
1687,735.1943
1688,735.1983.1-2
1689,737.1983
1690,738.1983
1691,739.1983
1692,740.1983
1693,741.1943.1-9
1694,746.1983
1695,748.1983.1-3
1696,749.1983
1697,794.1941
1698,797.1941
1699,800.1941
1700,833.1942
1701,835.1942
1702,836.1942
1703,837.1942.1-3
1704,839.1942
1705,840.1942
1706,841.1942
1707,841.1983
1708,842.1942
1709,842.1983
1710,850.1942
1711,851.1942
